,Year,District,Crimes,Population,C/P,Median Income,M/P,Nationality Count,N/P
69,2014,Kreis 7,1927,34934.0,-0.4266596205091923,81.62,-0.24963416562601198,379,-0.15370756640398425
70,2014,Kreis 8,1690,15127.0,-0.3387303990966127,78.05,0.5173752945024529,264,0.4788511104379014
71,2014,Kreis 9,5833,48904.0,-0.32698714410777124,49.78,-0.6077816048719421,238,-0.726790924107678
72,2015,Kreis 1,11379,5117.0,2.944713972928885,76.87,3.1966086041643678,218,2.888193375608292
73,2015,Kreis 10,2663,36360.0,-0.3985539997551656,62.85,-0.41474355521852196,227,-0.5949333008820413
74,2015,Kreis 11,6560,68282.0,-0.3630581615607798,50.97,-0.6815574060135673,378,-0.6626855804597301
75,2015,Kreis 12,2007,29067.0,-0.4050717067918082,40.23,-0.5083030037444675,324,-0.12519575449404605
76,2015,Kreis 2,2936,30419.0,-0.3623640942542529,63.38,-0.3182668036085951,297,-0.2576836989430432
77,2015,Kreis 3,4077,47359.0,-0.37858121301370734,52.83,-0.5812637376604789,335,-0.5153745481473738
78,2015,Kreis 4,9674,27192.0,0.04067012204960683,43.48,-0.4499042884299788,311,-0.09736460116496876
79,2015,Kreis 5,3886,13575.0,-0.06738422550467521,61.82,0.35276255266881923,195,0.1830727352084814
80,2015,Kreis 6,2576,31010.0,-0.3832717542905559,68.13,-0.2874420563990459,221,-0.510287394046315
81,2015,Kreis 7,2144,35422.0,-0.41831717630127513,83.13,-0.2467462519684532,383,-0.15720795755418676
82,2015,Kreis 8,1938,15356.0,-0.31621318333916937,80.15,0.5336237018119174,267,0.4726342339087964
83,2015,Kreis 9,5043,49564.0,-0.3542355393250929,50.95,-0.6050695366140848,240,-0.7291334515232719
84,2016,Kreis 1,11267,5138.0,2.896695639786548,77.4,3.208128572113533,208,2.6850673336448847
85,2016,Kreis 10,2139,37051.0,-0.422664107499404,64.08,-0.41445828065317114,231,-0.5957451475716429
86,2016,Kreis 11,5401,68889.0,-0.3905295275766975,51.72,-0.6803864599417424,368,-0.681264104422142
87,2016,Kreis 12,1651,30169.0,-0.4273376132836881,41.03,-0.5148346119541577,332,-0.13879753978619974
88,2016,Kreis 2,2769,30911.0,-0.37315145302820757,63.85,-0.3231753103246315,302,-0.2570753749935458
89,2016,Kreis 3,3674,47810.0,-0.392947968600439,53.9,-0.5780616024190983,325,-0.541803423937868
90,2016,Kreis 4,9626,27255.0,0.03665373754109855,45.68,-0.42897969982974704,314,-0.08935278296179293
91,2016,Kreis 5,4061,14495.0,-0.07686114645535916,65.02,0.3342187444809954,199,0.12216883805907622
92,2016,Kreis 6,2252,31207.0,-0.400227600714655,68.97,-0.28395559641675683,232,-0.48083059392804917
93,2016,Kreis 7,2046,35865.0,-0.42372743477013414,84.37,-0.24527949227480192,382,-0.17267290756090625
94,2016,Kreis 8,1766,15404.0,-0.334183446391643,82.37,0.5682987575183359,263,0.4425684742502888
95,2016,Kreis 9,4507,50113.0,-0.3725964787683645,52.2,-0.6013525707502969,240,-0.7342151941658133
96,2017,Kreis 1,11341,5197.0,2.8801293630926863,77.83,3.184320093574451,216,2.7885038258717594
