"Ausgangsjahr","Gemeinde_BFS_Nr","Gemeindename","Stadtkreis_BFS_Nr","Stadtkreis_Name","Gesetz_Nummer","Gesetz_Abk","Reihenfolge_Haupttitel","Haupttitel","Straftaten_total","Straftaten_vollendet","Straftaten_versucht","Einwohner","Häufigkeitszahl"
2009,261,Zürich,2610001,Kreis 1,142.20,AIG,1423,Total Täuschung der Behörden,9,,,5536,1.6
2009,261,Zürich,2610001,Kreis 1,142.20,AIG,1424,Total Förderung der rechtswidrigen Ein- / Ausreise / Aufenthalt,4,,,5536,0.7
2009,261,Zürich,2610001,Kreis 1,142.20,AIG,1425,Total weitere Widerhandlungen gegen AIG,101,,,5536,18.2
2009,261,Zürich,2610002,Kreis 2,311.0,StGB,1,Total gegen Leib und Leben,113,112,1,29531,3.8
2009,261,Zürich,2610002,Kreis 2,311.0,StGB,2,Total gegen das Vermögen,2844,2625,219,29531,96.3
2009,261,Zürich,2610002,Kreis 2,311.0,StGB,3,Total gegen die Freiheit,496,495,1,29531,16.8
2009,261,Zürich,2610002,Kreis 2,311.0,StGB,4,Total gegen sexuelle Integrität,23,23,0,29531,0.8
2009,261,Zürich,2610002,Kreis 2,311.0,StGB,5,Total übrige Titel StGB,99,97,2,29531,3.4
2009,261,Zürich,2610002,Kreis 2,812.121,BetmG,801,Total Übertretungen,217,,,29531,7.3
2009,261,Zürich,2610002,Kreis 2,812.121,BetmG,802,Total leichte Fälle,45,,,29531,1.5
2009,261,Zürich,2610002,Kreis 2,812.121,BetmG,803,Total schwere Fälle,11,,,29531,0.4
2009,261,Zürich,2610002,Kreis 2,142.20,AIG,1421,Total rechtswidrige Ein- / Ausreise / Aufenthalt,17,,,29531,0.6
2009,261,Zürich,2610002,Kreis 2,142.20,AIG,1422,Total illegale Erwerbstätigkeit oder Beschäftigung,20,,,29531,0.7
2009,261,Zürich,2610002,Kreis 2,142.20,AIG,1423,Total Täuschung der Behörden,2,,,29531,0.1
2009,261,Zürich,2610002,Kreis 2,142.20,AIG,1424,Total Förderung der rechtswidrigen Ein- / Ausreise / Aufenthalt,4,,,29531,0.1
2009,261,Zürich,2610002,Kreis 2,142.20,AIG,1425,Total weitere Widerhandlungen gegen AIG,12,,,29531,0.4
2009,261,Zürich,2610003,Kreis 3,311.0,StGB,1,Total gegen Leib und Leben,209,209,0,46595,4.5
2009,261,Zürich,2610003,Kreis 3,311.0,StGB,2,Total gegen das Vermögen,3642,3347,295,46595,78.2
2009,261,Zürich,2610003,Kreis 3,311.0,StGB,3,Total gegen die Freiheit,792,789,3,46595,17
2009,261,Zürich,2610003,Kreis 3,311.0,StGB,4,Total gegen sexuelle Integrität,40,37,3,46595,0.9
2009,261,Zürich,2610003,Kreis 3,311.0,StGB,5,Total übrige Titel StGB,160,156,4,46595,3.4
2009,261,Zürich,2610003,Kreis 3,812.121,BetmG,801,Total Übertretungen,303,,,46595,6.5
2009,261,Zürich,2610003,Kreis 3,812.121,BetmG,802,Total leichte Fälle,86,,,46595,1.8
2009,261,Zürich,2610003,Kreis 3,812.121,BetmG,803,Total schwere Fälle,20,,,46595,0.4
2009,261,Zürich,2610003,Kreis 3,142.20,AIG,1421,Total rechtswidrige Ein- / Ausreise / Aufenthalt,58,,,46595,1.2
2009,261,Zürich,2610003,Kreis 3,142.20,AIG,1422,Total illegale Erwerbstätigkeit oder Beschäftigung,41,,,46595,0.9
2009,261,Zürich,2610003,Kreis 3,142.20,AIG,1423,Total Täuschung der Behörden,5,,,46595,0.1
2009,261,Zürich,2610003,Kreis 3,142.20,AIG,1424,Total Förderung der rechtswidrigen Ein- / Ausreise / Aufenthalt,8,,,46595,0.2
2009,261,Zürich,2610003,Kreis 3,142.20,AIG,1425,Total weitere Widerhandlungen gegen AIG,23,,,46595,0.5
2009,261,Zürich,2610004,Kreis 4,311.0,StGB,1,Total gegen Leib und Leben,439,434,5,27354,16
2009,261,Zürich,2610004,Kreis 4,311.0,StGB,2,Total gegen das Vermögen,4453,4129,324,27354,162.8
2009,261,Zürich,2610004,Kreis 4,311.0,StGB,3,Total gegen die Freiheit,837,832,5,27354,30.6
2009,261,Zürich,2610004,Kreis 4,311.0,StGB,4,Total gegen sexuelle Integrität,482,481,1,27354,17.6
2009,261,Zürich,2610004,Kreis 4,311.0,StGB,5,Total übrige Titel StGB,594,585,9,27354,21.7
2009,261,Zürich,2610004,Kreis 4,812.121,BetmG,801,Total Übertretungen,2676,,,27354,97.8
2009,261,Zürich,2610004,Kreis 4,812.121,BetmG,802,Total leichte Fälle,515,,,27354,18.8
2009,261,Zürich,2610004,Kreis 4,812.121,BetmG,803,Total schwere Fälle,71,,,27354,2.6
2009,261,Zürich,2610004,Kreis 4,142.20,AIG,1421,Total rechtswidrige Ein- / Ausreise / Aufenthalt,202,,,27354,7.4
2009,261,Zürich,2610004,Kreis 4,142.20,AIG,1422,Total illegale Erwerbstätigkeit oder Beschäftigung,120,,,27354,4.4
2009,261,Zürich,2610004,Kreis 4,142.20,AIG,1423,Total Täuschung der Behörden,10,,,27354,0.4
2009,261,Zürich,2610004,Kreis 4,142.20,AIG,1424,Total Förderung der rechtswidrigen Ein- / Ausreise / Aufenthalt,26,,,27354,1
2009,261,Zürich,2610004,Kreis 4,142.20,AIG,1425,Total weitere Widerhandlungen gegen AIG,110,,,27354,4
2009,261,Zürich,2610005,Kreis 5,311.0,StGB,1,Total gegen Leib und Leben,326,325,1,12722,25.6
